grouping,product,description,reference,quantity,from,until,condition,unit,external id,price,total
"Project Amaterasu","Primary IPv4",188.245.98.223/32,,"1",2025-01-01,2025-01-31,"€ 0.0008 per Hours, max. € 0.5000 per Months
Usage: 744 Hours",Months,Primary IP 77432418,"€ 0.5000","€ 0.5000"
"Project Amaterasu","CX22 Cloud Server",Amaterasu,Server 57840914,"1",2025-01-01,2025-01-31,"€ 0.0052 per Hours, max. € 3.2900 per Months
Usage: 744 Hours",Months,Server 57840914,"€ 3.2900","€ 3.2900"
"Project Amaterasu","TB add. Traffic (20 TB incl. traffic)",Amaterasu,Server 57840914,"0.0000",2025-01-01,2025-01-31,"Used quota: 0.0358 TB
Included quota for period: 20.0000 TB
Quota to charge: 0.0000 TB",TB,Traffic 57840914,"€ 1.00","€ 0.00"
"Project Amaterasu","Primary IPv4",188.245.98.223/32,,"1",2025-02-01,2025-02-28,"€ 0.0008 per Hours, max. € 0.5000 per Months
Usage: 672 Hours",Months,Primary IP 77432418,"€ 0.5000","€ 0.5000"
"Project Amaterasu","CX22 Cloud Server",Amaterasu,Server 57840914,"1",2025-02-01,2025-02-28,"€ 0.0052 per Hours, max. € 3.2900 per Months
Usage: 672 Hours",Months,Server 57840914,"€ 3.2900","€ 3.2900"
"Project Amaterasu","TB add. Traffic (20 TB incl. traffic)",Amaterasu,Server 57840914,"0.0000",2025-02-01,2025-02-28,"Used quota: 0.0281 TB
Included quota for period: 20.0000 TB
Quota to charge: 0.0000 TB",TB,Traffic 57840914,"€ 1.00","€ 0.00"
